id,rule_id,rule_pattern,action,enabled,score,paranoia_level,anomaly_score,severity,category,phase,tags,version,chain_level,parent_rule_id,logdata,capture,multiMatch
"",905100,"REQUEST_LINE ""@streq GET /"" & REMOTE_ADDR ""@ipMatch 127.0.0.1,::1""",pass,1,0,1,0,INFO,exception,1,"application-multi,language-multi,platform-apache,attack-generic,OWASP_CRS",OWASP_CRS/4.16.0-dev,0,"","Exception for Apache SSL pinger to allow localhost GET / requests",0,0
"",905100,"REMOTE_ADDR ""@ipMatch 127.0.0.1,::1""",pass,1,0,1,0,INFO,exception,1,"application-multi,language-multi,platform-apache,attack-generic,OWASP_CRS",OWASP_CRS/4.16.0-dev,1,905100,"Exception for Apache SSL pinger to allow localhost GET / requests",0,0
"",905110,"REMOTE_ADDR ""@ipMatch 127.0.0.1,::1"" & REQUEST_HEADERS:User-Agent ""@endsWith (internal dummy connection)"" & REQUEST_LINE ""@rx ^(?:GET /|OPTIONS \*) HTTP/[12]\.[01]$""",pass,1,0,1,0,INFO,exception,1,"application-multi,language-multi,platform-apache,attack-generic,OWASP_CRS",OWASP_CRS/4.16.0-dev,0,"","Exception for Apache internal dummy connection to allow localhost health checks",0,0
"",905110,"REMOTE_ADDR ""@ipMatch 127.0.0.1,::1""",pass,1,0,1,0,INFO,exception,1,"application-multi,language-multi,platform-apache,attack-generic,OWASP_CRS",OWASP_CRS/4.16.0-dev,1,905110,"Exception for Apache internal dummy connection to allow localhost health checks",0,0
"",905110,"REQUEST_HEADERS:User-Agent ""@endsWith (internal dummy connection)""",pass,1,0,1,0,INFO,exception,1,"application-multi,language-multi,platform-apache,attack-generic,OWASP_CRS",OWASP_CRS/4.16.0-dev,2,905110,"Exception for Apache internal dummy connection to allow localhost health checks",0,0
"",905110,"REQUEST_LINE ""@rx ^(?:GET /|OPTIONS \*) HTTP/[12]\.[01]$""",pass,1,0,1,0,INFO,exception,1,"application-multi,language-multi,platform-apache,attack-generic,OWASP_CRS",OWASP_CRS/4.16.0-dev,3,905110,"Exception for Apache internal dummy connection to allow localhost health checks",0,0
"",942011,"TX:DETECTION_PARANOIA_LEVEL ""@lt 1""",pass,1,0,0,0,"",attack-sqli,1,"OWASP_CRS",OWASP_CRS/4.16.0-dev,0,"","",0,0
"",942012,"TX:DETECTION_PARANOIA_LEVEL ""@lt 1""",pass,1,0,0,0,"",attack-sqli,2,"OWASP_CRS",OWASP_CRS/4.16.0-dev,0,"","",0,0
"",942100,"REQUEST_COOKIES|REQUEST_COOKIES_NAMES|REQUEST_HEADERS:User-Agent|REQUEST_HEADERS:Referer|ARGS_NAMES|ARGS|XML:/ * ""@detectSQLi""",block,1,5,1,0,CRITICAL,attack-sqli,2,"application-multi,language-multi,platform-multi,attack-sqli,paranoia-level/1,OWASP_CRS,OWASP_CRS/ATTACK-SQLI,capec/1000/152/248/66,PCI/6.5.2",OWASP_CRS/4.16.0-dev,0,"","SQL Injection Attack Detected via libinjection",1,1
"",942140,"REQUEST_COOKIES|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/ * ""@rx (?i)\b(?:d(?:atabas|b_nam)e[^0-9A-Z_a-z]*\(|(?:information_schema|m(?:aster\.\.sysdatabases|s(?:db|ys(?:ac(?:cess(?:objects|storage|xml)|es)|modules2?|(?:object|querie|relationship)s))|ysql\.db)|northwind|pg_(?:catalog|toast)|tempdb)\b|s(?:chema(?:_name\b|[^0-9A-Z_a-z]*\()|(?:qlite_(?:temp_)?master|ys(?:aux|\.database_name))\b))?""",block,1,5,1,0,CRITICAL,attack-sqli,2,"application-multi,language-multi,platform-multi,attack-sqli,paranoia-level/1,OWASP_CRS,OWASP_CRS/ATTACK-SQLI,capec/1000/152/248/66,PCI/6.5.2",OWASP_CRS/4.16.0-dev,0,"","SQL Injection Attack: Common DB Names Detected",1,0
